Date and Time: 2025-10-21 10:51:32,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: No comments provided,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
302.8653889,-5.983,-3.129,28.68689,29.54593,30.4201,31.00461,31.55795,31.84625,32.05786,32.16455
302.9315228,-5.957,-3.116,28.66498,29.52576,30.39951,30.98691,31.5419,31.83118,32.04401,32.1517
303.00719,-5.939,-3.104,28.65048,29.5126,30.38623,30.97543,31.53125,31.82092,32.03479,32.14175
303.082499,-5.912,-3.093,28.63046,29.49271,30.36728,30.95712,31.51443,31.80627,32.02145,32.12933
303.1744308,-5.894,-3.081,28.61591,29.47925,30.35504,30.94495,31.50323,31.79495,32.01208,32.11957
303.2415578,-5.868,-3.069,28.59448,29.4588,30.33743,30.92862,31.48798,31.77997,31.99701,32.10532
303.310281,-5.85,-3.056,28.58191,29.44534,30.32391,30.91641,31.47629,31.76932,31.98761,32.09692
303.387202,-5.822,-3.044,28.56195,29.42526,30.30389,30.89804,31.45978,31.75522,31.97321,32.08176
303.4623239,-5.803,-3.031,28.54889,29.41199,30.29245,30.8858,31.44867,31.74481,31.96375,32.07248
303.559592,-5.776,-3.02,28.52692,29.39264,30.2731,30.86948,31.43231,31.72903,31.94873,32.05978
303.6132529,-5.756,-3.007,28.51413,29.37921,30.26053,30.85724,31.42114,31.71848,31.93945,32.05011
303.689435,-5.728,-2.994,28.4938,29.35858,30.24069,30.83902,31.40533,31.70416,31.92456,32.03503
303.7642159,-5.708,-2.981,28.47949,29.34604,30.22729,30.82773,31.39502,31.69196,31.91522,32.0257
303.842339,-5.678,-2.968,28.46088,29.32553,30.21146,30.80893,31.37747,31.67789,31.90112,32.01089
303.92489,-5.659,-2.954,28.4469,29.31271,30.19745,30.79715,31.36664,31.66733,31.89136,32.00214
303.993217,-5.63,-2.942,28.42722,29.29276,30.17789,30.78058,31.35004,31.65143,31.87573,31.98752
304.068737,-5.61,-2.928,28.41296,29.27988,30.16763,30.76874,31.33893,31.64227,31.86536,31.97968
304.1449659,-5.58,-2.914,28.39456,29.25995,30.14685,30.75046,31.32214,31.62714,31.8522,31.96341
304.2195039,-5.56,-2.9,28.38153,29.24753,30.13477,30.73828,31.3114,31.61618,31.84216,31.95428
304.3053079,-5.53,-2.888,28.36066,29.22803,30.11621,30.72223,31.2948,31.59933,31.82663,31.94058
304.3709729,-5.508,-2.873,28.34723,29.21567,30.10355,30.71033,31.28329,31.58884,31.81769,31.92981
304.4485989,-5.478,-2.86,28.32895,29.1962,30.0831,30.69193,31.26764,31.57452,31.80246,31.91541
304.523237,-5.456,-2.846,28.31677,29.18314,30.07184,30.68033,31.25638,31.56409,31.79208,31.90536
304.618356,-5.425,-2.832,28.29712,29.16473,30.05341,30.66315,31.23883,31.54852,31.77811,31.89261
304.6760669,-5.404,-2.818,28.28394,29.15179,30.04022,30.65222,31.22751,31.53827,31.76752,31.88153
304.750972,-5.372,-2.804,28.2666,29.13226,30.02176,30.63266,31.21265,31.5228,31.75189,31.86545
304.8263528,-5.351,-2.789,28.25247,29.11917,30.01013,30.6217,31.20111,31.51178,31.74213,31.85764
304.904207,-5.318,-2.776,28.23251,29.10153,29.99332,30.60294,31.18323,31.49667,31.72739,31.84201
304.989888,-5.297,-2.76,28.22122,29.08865,29.98059,30.59259,31.17316,31.48633,31.71722,31.83176
305.0548689,-5.263,-2.745,28.20264,29.06906,29.9614,30.57477,31.15686,31.46906,31.70151,31.81915
305.1294959,-5.242,-2.73,28.19223,29.05685,29.94791,30.56271,31.14529,31.45984,31.69199,31.80838
305.2064669,-5.208,-2.717,28.17456,29.03906,29.93066,30.54373,31.12836,31.44467,31.67743,31.79269
305.2832088,-5.186,-2.7,28.16013,29.02603,29.91901,30.53284,31.11749,31.43314,31.66653,31.78406
305.365401,-5.152,-2.685,28.14142,29.00726,29.901,30.51642,31.10083,31.4162,31.65045,31.76941
305.4327118,-5.13,-2.67,28.12964,28.9946,29.8891,30.5047,31.08981,31.40436,31.64151,31.75894
305.5094659,-5.095,-2.655,28.11182,28.97736,29.86972,30.48575,31.07312,31.39151,31.62512,31.74387
305.58322,-5.072,-2.639,28.10052,28.96414,29.85803,30.47507,31.06241,31.37991,31.61575,31.73291
305.679626,-5.038,-2.624,28.08273,28.94525,29.84113,30.45883,31.04434,31.36362,31.60117,31.71823
305.7416968,-5.015,-2.607,28.07089,28.93347,29.82825,30.44632,31.03412,31.35306,31.59048,31.70999
305.8120959,-4.979,-2.593,28.05325,28.91541,29.81046,30.4292,31.01776,31.33691,31.57394,31.69427
305.8873379,-4.956,-2.576,28.04111,28.90332,29.80002,30.41843,31.00635,31.32623,31.56482,31.68326
