Date and Time: 2025-10-10 11:04:34,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: No comments provided,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
180.9504211,6.076,2.899,34.01761,33.09143,32.27585,31.7291,31.39697,31.09167,30.98383,30.82898
181.012785,6.053,2.882,34.03989,33.11172,32.2941,31.74301,31.40668,31.10336,30.9899,30.83105
181.088408,6.019,2.868,34.06351,33.13483,32.31079,31.76105,31.4216,31.11295,30.99878,30.84393
181.1642361,5.996,2.851,34.08359,33.15103,32.32495,31.77429,31.43213,31.12097,31.00717,30.84866
181.241647,5.962,2.837,34.10995,33.17728,32.34827,31.78995,31.44733,31.13229,31.01584,30.8606
181.3264151,5.939,2.82,34.12662,33.19412,32.36139,31.80219,31.457,31.14096,31.02344,30.86469
181.3910561,5.903,2.805,34.15704,33.21652,32.38483,31.82132,31.4726,31.15082,31.03442,30.87375
181.466275,5.879,2.788,34.1702,33.23483,32.40082,31.83301,31.48303,31.16177,31.04044,30.88034
181.541816,5.843,2.773,34.20209,33.25873,32.42334,31.85236,31.49643,31.17175,31.05212,30.88748
181.6174719,5.818,2.756,34.21817,33.27444,32.4343,31.86682,31.50925,31.18512,31.05841,30.89865
181.708431,5.78,2.74,34.24268,33.30148,32.45709,31.88284,31.52267,31.19434,31.0683,30.90662
181.7685461,5.755,2.722,34.25723,33.31912,32.46979,31.89526,31.53323,31.20102,31.07541,30.91431
181.8440461,5.718,2.705,34.28775,33.34088,32.49304,31.91507,31.54837,31.21405,31.08435,30.92264
181.918576,5.692,2.688,34.30353,33.35895,32.50824,31.92734,31.55902,31.22412,31.09393,30.92825
181.9952121,5.652,2.671,34.32693,33.38397,32.52933,31.94409,31.57355,31.2384,31.10364,30.94043
182.069977,5.627,2.652,34.34457,33.40057,32.54465,31.95709,31.58392,31.24747,31.11215,30.94269
182.14645,5.587,2.635,34.36969,33.42242,32.56549,31.97476,31.60089,31.25894,31.12271,30.95718
182.2214541,5.56,2.616,34.3862,33.43796,32.57907,31.98822,31.61105,31.26727,31.1308,30.96356
182.2973461,5.519,2.599,34.40945,33.46408,32.60153,32.00525,31.62692,31.27795,31.1434,30.97498
182.3854899,5.491,2.579,34.42392,33.47882,32.61917,32.02036,31.6369,31.28848,31.14725,30.98007
182.4485841,5.45,2.562,34.45108,33.50104,32.63608,32.03729,31.65314,31.30243,31.16058,30.99155
182.5226111,5.423,2.542,34.46561,33.51581,32.64862,32.0502,31.6644,31.31308,31.16907,30.99988
182.5985961,5.38,2.525,34.49124,33.53772,32.66827,32.06635,31.68085,31.32764,31.17773,31.01059
182.6753881,5.351,2.503,34.50491,33.55606,32.68552,32.07901,31.69095,31.33212,31.18781,31.01599
182.7517211,5.308,2.485,34.52985,33.57797,32.70685,32.09851,31.7059,31.34756,31.19897,31.02679
182.824297,5.279,2.463,34.54474,33.59271,32.71988,32.11157,31.716,31.35675,31.2066,31.03317
182.9000521,5.236,2.445,34.57016,33.61484,32.74481,32.12784,31.73315,31.3685,31.22025,31.04358
182.977247,5.206,2.424,34.58307,33.63068,32.75534,32.14142,31.74191,31.38159,31.2262,31.05453
183.0543771,5.161,2.406,34.60489,33.65286,32.7775,32.1593,31.7594,31.392,31.23938,31.06512
