Date and Time: 2025-10-24 11:32:10,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: No comments provided,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
378.6114411,-5.906,-3.225,30.18906,30.2529,30.24756,30.09891,30.0206,29.78281,29.63907,29.57471
378.6779771,-5.95,-3.242,30.16208,30.23492,30.23911,30.09521,30.02008,29.78525,29.64383,29.58145
378.7524121,-5.977,-3.261,30.14383,30.22223,30.2308,30.09177,30.01987,29.78796,29.64828,29.5863
378.8296571,-6.018,-3.277,30.11783,30.20352,30.21985,30.08667,30.01987,29.79227,29.6532,29.59143
378.9299562,-6.046,-3.295,30.10013,30.19147,30.21219,30.08304,30.02005,29.79346,29.65643,29.59558
378.9881442,-6.085,-3.312,30.07324,30.17282,30.20203,30.07797,30.01886,29.79657,29.66235,29.60217
379.0549262,-6.112,-3.33,30.05536,30.16022,30.19455,30.07413,30.0181,29.79852,29.66592,29.60547
379.1316671,-6.15,-3.345,30.02783,30.14029,30.18347,30.06943,30.01752,29.80103,29.67065,29.61166
379.206104,-6.175,-3.361,30.0101,30.12839,30.17554,30.06558,30.01691,29.80295,29.67355,29.61609
379.3017502,-6.212,-3.377,29.98306,30.10928,30.16418,30.05948,30.01596,29.80539,29.67862,29.62152
379.365376,-6.238,-3.393,29.96481,30.09601,30.15674,30.05502,30.01486,29.8075,29.68149,29.62521
379.4341471,-6.274,-3.407,29.93729,30.07657,30.14548,30.05002,30.01364,29.80853,29.68604,29.63095
379.5093162,-6.296,-3.423,29.91931,30.06323,30.13785,30.04575,30.013,29.80972,29.68921,29.63483
379.58606,-6.331,-3.436,29.89206,30.04413,30.12439,30.03915,30.01138,29.81241,29.69287,29.63959
379.6819472,-6.354,-3.451,29.87354,30.03082,30.11682,30.03491,30.01028,29.81351,29.69595,29.64334
379.7433162,-6.386,-3.463,29.84567,30.01147,30.10519,30.02859,30.00803,29.81549,29.70029,29.64911
379.8123791,-6.408,-3.477,29.82761,29.99799,30.09659,30.0238,30.00693,29.81598,29.70306,29.65219
