Date and Time: 2025-10-24 10:25:14,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: No comments provided,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
378.5280521,-6.116,-3.339,29.1413,29.07083,28.94022,28.71817,28.59125,28.3262,28.1734,28.10547
378.6046391,-6.18,-3.365,29.11581,29.05597,28.93314,28.71667,28.59427,28.33191,28.18024,28.11246
378.6803401,-6.222,-3.394,29.09851,29.04553,28.92929,28.71622,28.59595,28.33588,28.18393,28.11734
378.7550042,-6.282,-3.418,29.07285,29.02985,28.9231,28.71506,28.59851,28.33978,28.19043,28.12469
378.8298061,-6.32,-3.446,29.05554,29.01917,28.91782,28.71408,28.60022,28.34326,28.19455,28.1293
378.9091411,-6.377,-3.469,29.0293,29.00308,28.91098,28.71252,28.60251,28.34872,28.20029,28.13507
378.9826851,-6.413,-3.493,29.01178,28.99173,28.90552,28.71124,28.60355,28.3515,28.20435,28.13953
379.0590901,-6.464,-3.515,28.98535,28.97556,28.89804,28.70844,28.60495,28.35632,28.21109,28.14597
379.132448,-6.498,-3.536,28.96729,28.96469,28.89301,28.70715,28.60663,28.35925,28.2149,28.15103
379.210084,-6.546,-3.557,28.93988,28.94672,28.88504,28.70511,28.60837,28.36316,28.22031,28.15741
379.284951,-6.577,-3.578,28.92166,28.93542,28.87973,28.70248,28.6095,28.36642,28.22412,28.16119
379.3634012,-6.622,-3.596,28.89502,28.91827,28.87039,28.69977,28.61053,28.37073,28.23044,28.16727
379.435992,-6.65,-3.616,28.87686,28.9064,28.86472,28.6976,28.61127,28.37326,28.23395,28.17102
379.5140581,-6.69,-3.631,28.84866,28.88809,28.8566,28.69437,28.61218,28.3765,28.23944,28.17825
379.5868201,-6.716,-3.649,28.83014,28.87665,28.84998,28.6926,28.61279,28.37918,28.24277,28.18307
379.6660311,-6.752,-3.665,28.80228,28.85764,28.8403,28.6886,28.61386,28.38333,28.24829,28.18787
379.740067,-6.775,-3.68,28.7843,28.84528,28.83432,28.6861,28.61401,28.38577,28.25171,28.19156
379.8149841,-6.808,-3.692,28.75595,28.82693,28.82465,28.68192,28.61414,28.38889,28.25732,28.19818
379.8920281,-6.828,-3.706,28.73679,28.81448,28.81799,28.67935,28.61432,28.39114,28.26065,28.20166
379.9692872,-6.856,-3.718,28.70862,28.79526,28.80823,28.6749,28.6152,28.39374,28.26498,28.20731
380.0445611,-6.872,-3.729,28.68954,28.78247,28.80045,28.67245,28.61472,28.39639,28.26834,28.21146
380.1200511,-6.896,-3.738,28.66101,28.76312,28.78961,28.66666,28.61438,28.39948,28.27405,28.21707
380.1930461,-6.912,-3.748,28.6424,28.75018,28.78275,28.66385,28.61435,28.40109,28.27682,28.22058
380.2697902,-6.931,-3.757,28.61298,28.73047,28.77164,28.65927,28.61411,28.40308,28.28119,28.22641
380.346947,-6.943,-3.764,28.59421,28.71744,28.76474,28.6553,28.61346,28.4054,28.2843,28.23026
380.424221,-6.959,-3.77,28.56549,28.6972,28.75339,28.64984,28.61298,28.40826,28.28864,28.23471
380.4958081,-6.967,-3.777,28.5463,28.68365,28.74579,28.64667,28.61197,28.41028,28.29144,28.23788
380.573575,-6.979,-3.78,28.51721,28.66394,28.73441,28.64072,28.61084,28.41193,28.2962,28.24326
380.650044,-6.985,-3.786,28.49792,28.65067,28.72656,28.63635,28.61014,28.41333,28.29858,28.24719
380.7259121,-6.992,-3.789,28.46875,28.62973,28.71439,28.63101,28.60941,28.41568,28.30258,28.25198
380.802454,-6.996,-3.79,28.44943,28.61609,28.70639,28.62683,28.60822,28.4165,28.3049,28.25519
380.8778751,-6.998,-3.791,28.42032,28.59561,28.69354,28.62015,28.60641,28.41904,28.30917,28.26022
380.9508231,-7,-3.793,28.40076,28.58176,28.68567,28.61575,28.60495,28.42029,28.31122,28.26276
381.0300751,-6.998,-3.793,28.37109,28.56088,28.67328,28.60968,28.60342,28.42117,28.31512,28.2674
381.1035662,-6.996,-3.791,28.35162,28.54672,28.66522,28.60501,28.60223,28.42151,28.31744,28.27109
381.1806149,-6.99,-3.79,28.32281,28.52536,28.65173,28.59772,28.60019,28.42419,28.32104,28.27475
381.254925,-6.985,-3.786,28.30286,28.51138,28.64322,28.59277,28.59842,28.42435,28.32288,28.27689
381.331075,-6.976,-3.782,28.27371,28.4899,28.63043,28.58594,28.59546,28.42517,28.3266,28.28241
381.4083941,-6.967,-3.777,28.25464,28.47583,28.62073,28.58087,28.59393,28.42593,28.32904,28.28497
381.484436,-6.954,-3.772,28.2251,28.45425,28.60757,28.5737,28.59158,28.42682,28.33112,28.28806
381.560071,-6.943,-3.765,28.20547,28.43964,28.59912,28.5683,28.58987,28.42731,28.33313,28.29147
381.6339869,-6.925,-3.759,28.17648,28.41861,28.58539,28.56033,28.58612,28.42776,28.33621,28.29517
381.7098341,-6.911,-3.749,28.15701,28.40414,28.57596,28.55511,28.58432,28.42828,28.33795,28.29758
381.7860081,-6.889,-3.741,28.12677,28.38235,28.56192,28.54739,28.58118,28.42807,28.34018,28.30222
381.8619671,-6.872,-3.731,28.10822,28.36765,28.55316,28.54221,28.57898,28.4285,28.34222,28.30386
381.9398131,-6.846,-3.72,28.07944,28.34613,28.53873,28.53345,28.57541,28.42923,28.34485,28.30704
382.012202,-6.827,-3.707,28.05975,28.33099,28.52869,28.52789,28.57285,28.42883,28.3461,28.3089
382.0902212,-6.797,-3.696,28.03003,28.30899,28.51498,28.51892,28.56845,28.42776,28.3476,28.31296
382.1659431,-6.775,-3.682,28.01135,28.29483,28.50516,28.51297,28.56628,28.4281,28.34979,28.31503
382.241971,-6.74,-3.668,27.98193,28.27243,28.49084,28.50418,28.56281,28.42786,28.35123,28.31793
382.3169501,-6.715,-3.652,27.96332,28.25732,28.48111,28.49887,28.55988,28.42755,28.35233,28.31894
382.39206,-6.677,-3.636,27.9335,28.23572,28.46539,28.48895,28.55539,28.42715,28.35477,28.32281
382.469559,-6.649,-3.619,27.91492,28.22144,28.45575,28.48306,28.5524,28.42664,28.35602,28.32437
382.5430372,-6.607,-3.601,27.88556,28.19864,28.44199,28.47452,28.54788,28.42517,28.35645,28.32739
382.6177881,-6.577,-3.582,27.86621,28.18405,28.43112,28.46823,28.54514,28.42484,28.35745,28.32895
382.694993,-6.53,-3.564,27.83847,28.16211,28.41617,28.45755,28.54013,28.42429,28.35901,28.33051
382.770067,-6.498,-3.541,27.81973,28.14709,28.40561,28.45181,28.53696,28.42303,28.35965,28.33231
382.8483222,-6.446,-3.522,27.7905,28.12494,28.39059,28.44205,28.53165,28.42105,28.36096,28.33505
382.9239721,-6.412,-3.498,27.77213,28.1098,28.38055,28.43597,28.5285,28.41971,28.36087,28.33542
383.000257,-6.358,-3.478,27.74365,28.08768,28.36423,28.42572,28.5235,28.41888,28.36194,28.33789
383.0732231,-6.319,-3.452,27.72467,28.07257,28.35446,28.41858,28.5199,28.41724,28.36221,28.33826
383.1501122,-6.26,-3.428,27.69675,28.05042,28.33908,28.4086,28.51437,28.41534,28.36295,28.34155
383.2268422,-6.221,-3.4,27.67828,28.03598,28.32883,28.40146,28.51031,28.41495,28.36343,28.34183
383.303406,-6.158,-3.375,27.64969,28.01346,28.31274,28.39154,28.50494,28.41235,28.36334,28.34354
383.3761561,-6.116,-3.346,27.63156,27.99866,28.30185,28.38428,28.50137,28.41113,28.36343,28.34396
383.452754,-6.05,-3.32,27.60397,27.97681,28.28635,28.37347,28.49487,28.40942,28.36432,28.34555
383.527102,-6.005,-3.288,27.586,27.96207,28.27567,28.36682,28.4913,28.40729,28.36392,28.34653
383.6057441,-5.935,-3.26,27.55844,27.93991,28.26004,28.3566,28.48489,28.40372,28.36362,28.34769
383.6798561,-5.887,-3.227,27.54041,27.92502,28.24979,28.34894,28.48096,28.40237,28.36337,28.34888
383.756134,-5.814,-3.198,27.51358,27.90277,28.23282,28.33865,28.47495,28.40015,28.36325,28.34888
383.831929,-5.764,-3.163,27.49548,27.88837,28.22241,28.33118,28.47061,28.39844,28.36337,28.3494
383.9078,-5.688,-3.132,27.46906,27.86639,28.20673,28.32001,28.46384,28.39529,28.36252,28.35016
383.985194,-5.635,-3.095,27.45074,27.85229,28.19644,28.31247,28.45975,28.39261,28.36206,28.35095
384.059032,-5.556,-3.062,27.42404,27.82996,28.1795,28.30185,28.453,28.38992,28.36075,28.35123
384.1337581,-5.501,-3.025,27.40674,27.81485,28.16956,28.29428,28.44815,28.38797,28.35986,28.35095
